country,n_transactions,fraud_rate,avg_purchase_value
United Arab Emirates,114,0.14035087719298245,33.833333333333336
Ecuador,106,0.2641509433962264,39.08490566037736
Seychelles,95,0.12631578947368421,35.17894736842105
Lithuania,95,0.18947368421052632,39.82105263157895
Kenya,93,0.07526881720430108,41.365591397849464
Kazakhstan,92,0.06521739130434782,35.18478260869565
Costa Rica,90,0.13333333333333333,35.2
Kuwait,90,0.23333333333333334,36.644444444444446
Slovenia,87,0.022988505747126436,39.55172413793103
Slovakia (SLOVAK Republic),86,0.046511627906976744,35.651162790697676
Uruguay,80,0.0625,34.9875
Croatia (LOCAL Name: Hrvatska),79,0.08860759493670886,39.037974683544306
Belarus,72,0.027777777777777776,35.138888888888886
Luxembourg,72,0.3888888888888889,36.486111111111114
Serbia,69,0.014492753623188406,37.072463768115945
Nigeria,67,0.04477611940298507,34.43283582089552
Latvia,64,0.09375,34.21875
Panama,62,0.04838709677419355,35.24193548387097
Bolivia,53,0.24528301886792453,37.528301886792455
Dominican Republic,51,0.0392156862745098,35.294117647058826
Cyprus,43,0.046511627906976744,46.604651162790695
Estonia,42,0.023809523809523808,42.523809523809526
Oman,41,0.0,39.02439024390244
Bangladesh,37,0.08108108108108109,39.78378378378378
Moldova Republic of,37,0.05405405405405406,36.054054054054056
Paraguay,35,0.08571428571428572,28.34285714285714
Georgia,32,0.0625,35.625
Sri Lanka,31,0.41935483870967744,39.54838709677419
Bosnia and Herzegowina,30,0.03333333333333333,40.6
Puerto Rico,30,0.0,38.266666666666666
Lebanon,28,0.10714285714285714,38.535714285714285
Jordan,28,0.0,35.82142857142857
Qatar,25,0.0,36.4
Sudan,25,0.08,33.92
El Salvador,25,0.08,39.52
Angola,24,0.041666666666666664,34.833333333333336
Macedonia,24,0.041666666666666664,33.125
Syrian Arab Republic,24,0.0,41.166666666666664
Namibia,23,0.43478260869565216,50.869565217391305
Azerbaijan,23,0.08695652173913043,38.130434782608695
Malta,22,0.18181818181818182,34.45454545454545
Trinidad and Tobago,22,0.09090909090909091,37.63636363636363
Guatemala,20,0.05,33.95
Iraq,20,0.0,36.1
Iceland,19,0.10526315789473684,36.68421052631579
Nepal,18,0.0,37.94444444444444
Kyrgyzstan,18,0.0,35.611111111111114
Mauritius,17,0.058823529411764705,33.0
Palestinian Territory Occupied,16,0.0,34.125
Nicaragua,16,0.0625,31.375
Mozambique,16,0.0,38.125
Rwanda,15,0.0,38.8
Tanzania United Republic of,15,0.0,34.733333333333334
Armenia,15,0.13333333333333333,43.53333333333333
Cambodia,15,0.0,39.8
Libyan Arab Jamahiriya,14,0.07142857142857142,37.714285714285715
Bahrain,14,0.0,25.0
Albania,13,0.0,29.153846153846153
Uganda,13,0.0,31.46153846153846
Ghana,11,0.0,32.81818181818182
Uzbekistan,10,0.2,38.1
Macau,10,0.0,44.1
Zambia,10,0.0,34.2
Gabon,9,0.0,30.666666666666668
Honduras,9,0.1111111111111111,45.111111111111114
Barbados,9,0.0,28.0
Senegal,9,0.1111111111111111,26.666666666666668
Cuba,9,0.0,28.666666666666668
Malawi,7,0.14285714285714285,34.42857142857143
Guam,7,0.0,40.57142857142857
Jamaica,7,0.0,37.714285714285715
Brunei Darussalam,7,0.0,39.285714285714285
Belize,7,0.0,45.0
Montenegro,7,0.14285714285714285,26.571428571428573
Afghanistan,6,0.16666666666666666,32.333333333333336
Zimbabwe,6,0.0,38.0
Mongolia,6,0.0,33.0
Cote D'ivoire,6,0.16666666666666666,20.833333333333332
New Caledonia,5,0.0,57.6
Cameroon,5,0.0,33.6
Lao People's Democratic Republic,4,0.0,29.25
Bahamas,4,0.0,41.5
Cayman Islands,4,0.0,27.0
Ethiopia,4,0.0,42.25
Haiti,4,0.0,25.75
Papua New Guinea,4,0.0,32.25
Congo,3,0.0,44.666666666666664
Botswana,3,0.0,25.333333333333332
Antigua and Barbuda,3,0.0,31.666666666666668
Reunion,3,0.0,41.666666666666664
Congo The Democratic Republic of The,3,0.0,36.333333333333336
Virgin Islands (U.S.),3,0.3333333333333333,43.333333333333336
Monaco,3,0.0,23.666666666666668
Curacao,3,0.0,25.0
Faroe Islands,3,0.0,28.333333333333332
Djibouti,3,0.0,35.333333333333336
Benin,2,0.0,23.0
Bhutan,2,0.0,34.0
Bermuda,2,0.0,27.0
Maldives,2,0.0,37.5
Burkina Faso,2,0.0,32.5
Fiji,2,0.0,41.0
Gibraltar,2,0.0,46.5
Saint Kitts and Nevis,2,0.0,40.0
Lesotho,2,0.0,36.0
Liechtenstein,2,0.0,42.0
Nauru,1,0.0,45.0
Vanuatu,1,0.0,24.0
Yemen,1,0.0,26.0
Bonaire; Sint Eustatius; Saba,1,0.0,32.0
British Indian Ocean Territory,1,0.0,24.0
San Marino,1,0.0,12.0
Burundi,1,0.0,18.0
Turkmenistan,1,1.0,37.0
Myanmar,1,0.0,18.0
Cape Verde,1,0.0,30.0
Madagascar,1,0.0,33.0
Tajikistan,1,0.0,10.0
Niger,1,0.0,40.0
South Sudan,1,0.0,38.0
Gambia,1,0.0,29.0
Guadeloupe,1,0.0,25.0
Saint Martin,1,0.0,74.0
Dominica,1,0.0,79.0
